spoofed,PDOP,HDOP,VDOP
0,19.8,19.3,4.4
0,19.8,19.3,4.4
0,19.8,19.3,4.4
0,6.0,4.8,3.5
0,2.1,1.4,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.3,1.5,1.8
0,2.3,1.5,1.8
0,2.0,1.3,1.6
0,2.3,1.5,1.8
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,3.7,2.6,2.7
0,6.0,4.9,3.5
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,2.3,1.5,1.8
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.9,1.9,2.2
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.6,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.4,1.5,1.8
0,2.1,1.2,1.8
0,3.0,2.0,2.2
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,3.0,2.0,2.2
0,2.9,1.9,2.2
0,2.9,1.9,2.2
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,3.7,2.5,2.7
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,3.7,2.5,2.7
0,3.7,2.5,2.7
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,2.6,1.7,2.0
0,3.7,2.5,2.7
0,3.7,2.5,2.7
0,3.7,2.6,2.7
0,2.6,1.7,2.0
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.8,2.7,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.8,2.7,2.7
0,6.1,5.0,3.6
0,6.1,5.0,3.6
0,6.1,5.0,3.6
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.8,2.7,2.7
0,3.7,2.6,2.7
0,5.0,3.8,3.2
0,5.0,3.8,3.2
0,5.0,3.8,3.2
0,5.0,3.8,3.2
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,5.0,3.8,3.2
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,5.0,3.8,3.2
0,3.7,2.6,2.7
0,2.6,1.7,2.0
0,1.9,1.3,1.4
0,2.5,1.8,1.7
0,2.7,2.2,1.7
0,2.5,1.8,1.7
0,2.7,2.2,1.7
0,4.7,4.4,1.8
0,5.9,4.0,4.3
0,2.7,1.3,2.3
0,2.9,2.4,1.7
0,2.7,1.3,2.3
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.9,2.4,1.7
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.9,2.4,1.7
0,2.9,2.4,1.7
0,2.9,2.4,1.7
0,2.9,2.4,1.7
0,2.6,1.9,1.7
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,1.5,1.0,1.2
0,2.6,1.9,1.7
0,1.5,0.9,1.2
0,2.0,1.3,1.5
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.8,1.0,1.5
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,2.0,1.3,1.5
0,2.0,1.4,1.5
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.6,1.0,1.2
0,1.7,1.0,1.4
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.4,0.8,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.5,0.9,1.2
0,1.4,0.8,1.2
0,1.4,0.8,1.2
0,1.5,0.9,1.2
0,1.8,1.2,1.4
0,1.9,1.6,1.1
0,1.7,1.2,1.1
0,2.1,1.8,1.1
0,1.9,1.6,1.1
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,4.3,1.6,4.0
1,9.7,5.4,8.1
1,9.8,5.4,8.1
1,9.8,5.4,8.1
1,9.8,5.4,8.2
1,9.8,5.4,8.2
1,9.8,5.4,8.2
1,9.8,5.4,8.2
1,9.8,5.4,8.2
1,9.9,5.5,8.2
1,9.9,5.5,8.2
1,9.9,5.5,8.2
1,9.9,5.5,8.3
1,9.9,5.5,8.3
1,9.9,5.5,8.3
1,9.9,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.5,8.3
1,10.0,5.6,8.3
1,10.0,5.6,8.4
1,10.0,5.6,8.4
1,10.1,5.6,8.4
1,10.1,5.6,8.4
1,10.1,5.6,8.4
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,10.2,5.7,8.5
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,11.0,10.1,4.4
1,3.7,2.3,2.9
1,3.7,2.3,2.9
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,7.9,4.4,6.6
1,8.0,4.4,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.6
1,8.0,4.5,6.7
1,8.0,4.5,6.7
1,8.0,4.5,6.7
1,8.1,4.5,6.7
1,8.1,4.5,6.7
1,8.1,4.6,6.7
1,8.1,4.6,6.7
1,8.1,4.6,6.7
1,8.1,4.6,6.7
1,8.1,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.2,4.6,6.8
1,8.3,4.6,6.8
1,8.3,4.6,6.8
1,8.3,4.6,6.8
1,8.3,4.6,6.8
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.3,4.7,6.9
1,8.4,4.7,6.9
1,8.4,4.7,6.9
1,8.4,4.7,6.9
1,8.4,4.7,6.9
1,8.4,4.7,6.9
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.0
1,8.5,4.8,7.1
1,8.5,4.8,7.1
1,8.6,4.8,7.1
1,8.6,4.8,7.1
1,8.6,4.8,7.1
1,8.6,4.8,7.1
1,8.6,4.8,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.6,4.9,7.1
1,8.7,4.9,7.1
1,8.7,4.9,7.1
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,4.9,7.2
1,8.7,5.0,7.2
1,8.7,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.2
1,8.8,5.0,7.3
1,8.8,5.0,7.3
