spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sv_prn_1,sv_prn_2,sv_prn_3,sv_prn_4,sv_prn_5,sv_prn_6,sv_prn_7,sv_prn_8,sv_prn_9,sv_prn_10,sv_prn_11,sv_prn_12,sv_prn_13,sv_prn_14,sv_prn_15,sv_prn_16,sv_prn_17,sv_prn_18,sv_prn_19,sv_prn_20,sv_prn_21,sv_prn_22,sv_prn_23,sv_prn_24,sv_prn_25,sv_prn_26,sv_prn_27,sv_prn_28,sv_prn_29,sv_prn_30,sv_prn_31,sv_prn_32
1,0.1404692392259922,0.9900850432317776,-0.9942778199021404,-0.10682516955590048,-0.21831450502429858,-0.9758784642034045,8,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
1,0.14054123987065625,0.990074825402413,-0.9942777658950847,-0.1068256722266667,-0.21831453823726815,-0.9758784567733055,13,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1406132397720684,0.9900646023370409,-0.9942777612339343,-0.10682571561022006,-0.2183141476300175,-0.9758785441562792,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1406852389298479,0.9900543740357151,-0.9942776936781181,-0.10682634438247109,-0.2183139066230546,-0.9758785980720042,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14075723734361398,0.9900441404984899,-0.9942776008270648,-0.1068272085827194,-0.21831348649310037,-0.9758786920592266,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1408292350129858,0.9900339017254193,-0.9942775458245808,-0.10682772050853032,-0.21831285800132214,-0.9758788326586936,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14090123193758267,0.9900236577165575,-0.9942774875278748,-0.10682826309201451,-0.21831275126558225,-0.9758788565364309,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14097322811702379,0.9900134084719588,-0.9942774374347333,-0.10682872932044125,-0.21831269420737964,-0.975878869300855,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14104522355092847,0.9900031539916773,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14111721823891593,0.9899928942757671,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14118921218060537,0.9899826293242826,-0.9942773777701602,-0.1068292846297029,-0.21831272032357224,-0.9758788634584323,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14126120537561615,0.9899723591372781,-0.9942772608018368,-0.10683037326713925,-0.21831269505899462,-0.9758788691103412,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14133319782356749,0.9899620837148079,-0.9942771910056115,-0.10683102286316794,-0.21831270300740124,-0.9758788673322126,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14140518952407863,0.9899518030569263,-0.9942771373063569,-0.10683152264138132,-0.2183126462330701,-0.9758788800331291,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1414771804767689,0.9899415171636877,-0.9942771235707433,-0.1068316504781653,-0.21831270187191462,-0.975878867586231,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14154917068125755,0.9899312260351465,-0.9942770619778124,-0.10683222371910753,-0.21831267149764672,-0.9758788743812219,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1416211601371638,0.989920929671357,-0.9942770279803619,-0.10683254012958149,-0.2183127251493907,-0.9758788623788541,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14169314884410703,0.9899106280723738,-0.9942769742181915,-0.10683304048616069,-0.21831292925310478,-0.9758788167190273,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14176513680170644,0.9899003212382514,-0.9942769036122305,-0.1068336976018111,-0.2183130376920705,-0.9758787924602422,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14183712400958143,0.9898900091690443,-0.9942768441313437,-0.10683425117543419,-0.21831311178256602,-0.9758787758855159,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14190911046735122,0.989879691864807,-0.9942767908033897,-0.10683474748279433,-0.21831320659568876,-0.9758787546749381,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14198109617463509,0.9898693693255939,-0.9942767443121511,-0.10683518016098117,-0.21831333802824837,-0.9758787252722357,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1420530811310524,0.9898590415514598,-0.9942767004933647,-0.10683558796593956,-0.21831343624782584,-0.9758787032995784,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14212506533622243,0.9898487085424593,-0.9942767118054645,-0.1068354826886334,-0.218313469460804,-0.9758786958695156,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1421970487897645,0.989838370298647,-0.9942766911080426,-0.10683567531139539,-0.21831353106094242,-0.975878682088969,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14226903149129794,0.9898280268200775,-0.9942766558664002,-0.10683600329068794,-0.21831358357718816,-0.9758786703405737,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14234101344044203,0.9898176781068057,-0.9942766059560941,-0.10683646778338382,-0.21831364915152632,-0.9758786556709519,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1424129946368161,0.9898073241588861,-0.9942765513839292,-0.10683697565955694,-0.2183137215387828,-0.9758786394772081,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14248497508003952,0.9897969649763736,-0.9942765058862085,-0.1068373990824947,-0.21831378796473408,-0.9758786246170623,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1425569547697316,0.989786600559323,-0.9942764598910618,-0.10683782713298577,-0.21831382401642488,-0.9758786165519385,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14262893370551166,0.989776230907789,-0.9942764143308225,-0.10683825113433203,-0.21831381550027756,-0.975878618457086,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14270091188699904,0.9897658560218264,-0.994276361933216,-0.10683873876477794,-0.21831385410681275,-0.9758786098204167,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1427728893138131,0.9897554759014904,-0.9942763148808318,-0.10683917664879754,-0.2183139176940463,-0.9758785955953113,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1428448659855732,0.9897450905468356,-0.9942762783949005,-0.1068395161968938,-0.21831395090702077,-0.9758785881652322,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14291684190189866,0.9897346999579169,-0.9942762104574143,-0.1068401484388875,-0.21831389583593488,-0.9758786004851918,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14298881706240885,0.9897243041347893,-0.9942761520296115,-0.10684069217853666,-0.2183139290489091,-0.9758785930551135,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14306079146672313,0.989713903077508,-0.9942760821644869,-0.10684134235228644,-0.21831403181041917,-0.9758785700663168,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14313276511446088,0.9897034967861277,-0.9942760265953031,-0.10684185948333244,-0.21831407212018136,-0.9758785610486093,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1432047380052414,0.9896930852607035,-0.994275982960252,-0.10684226555265754,-0.21831408744924516,-0.97587855761934,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14327671013868415,0.9896826685012906,-0.9942759565429397,-0.10684251139234083,-0.21831426174638346,-0.975878518627258,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14334868151440847,0.989672246507944,-0.9942759409411572,-0.10684265658236149,-0.21831436252078448,-0.975878496082962,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14342065213203373,0.9896618192807188,-0.9942758804607406,-0.10684321941058855,-0.21831432760458386,-0.9758785038940854,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14349262199117932,0.9896513868196702,-0.9942758532351251,-0.1068434727700475,-0.21831448770813464,-0.9758784680772165,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1435645910914646,0.9896409491248533,-0.9942758145721541,-0.10684383256360433,-0.21831455697278998,-0.975878452581967,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.143636559432509,0.9896305061963234,-0.994275779638618,-0.10684415765037504,-0.21831463305036078,-0.9758784355625891,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14370852701393194,0.9896200580341357,-0.99427573015962,-0.10684461809354022,-0.21831476107641876,-0.975878406921757,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14378049383535277,0.9896096046383454,-0.9942756708591332,-0.10684516993117071,-0.21831493594127274,-0.9758783678025443,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1438524598963909,0.9895991460090077,-0.9942756163446836,-0.1068456772284192,-0.2183151360706825,-0.9758783230313293,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14392442519666576,0.989588682146178,-0.9942755675487481,-0.10684613130860116,-0.21831528254837296,-0.975878290262584,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1439963897357967,0.9895782130499118,-0.994275522482254,-0.10684655068199768,-0.21831533790331284,-0.9758782778790408,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14406835351340322,0.9895677387202642,-0.9942754807101181,-0.10684693939773647,-0.21831533847105536,-0.9758782777520302,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14414031652910472,0.9895572591572908,-0.9942754363892183,-0.10684735182974539,-0.2183153444323568,-0.9758782764184176,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1442122787825206,0.9895467743610469,-0.9942753821844635,-0.10684785623464359,-0.21831540688408319,-0.9758782624472364,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14428424027327028,0.9895362843315879,-0.9942753251821687,-0.10684838666958354,-0.2183154230647567,-0.97587825882743,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14435620100097318,0.9895257890689695,-0.9942752713498617,-0.10684888760374997,-0.2183154418002747,-0.9758782546360744,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14442816096524883,0.989515288573247,-0.994275241574147,-0.10684916467933464,-0.21831546763257895,-0.9758782488570837,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1445001201657166,0.989504782844476,-0.994275199676664,-0.10684955455185531,-0.21831548636809592,-0.9758782446657276,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14457207860199586,0.989494271882712,-0.9942751561627958,-0.10684995946395104,-0.2183155261101026,-0.9758782357749706,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1446440362737062,0.9894837556880106,-0.9942751219732122,-0.1068502776091568,-0.21831548949068294,-0.975878243967168,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.144715993180467,0.9894732342604275,-0.9942750731751758,-0.10685073168911298,-0.21831557067792293,-0.9758782258046199,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14478794932189767,0.9894627076000184,-0.9942750053548852,-0.10685136277344794,-0.2183155400198044,-0.9758782326632054,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1448599046976178,0.9894521757068389,-0.9942749443722289,-0.10685193022871102,-0.21831553888431898,-0.975878232917227,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14493185930724672,0.9894416385809445,-0.9942748976870199,-0.10685236464143404,-0.2183156774135947,-0.975878201926574,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14500381315040398,0.9894310962223912,-0.9942748534260344,-0.10685277649475369,-0.21831578556862066,-0.9758781777309892,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14507576622670904,0.9894205486312346,-0.9942747832421837,-0.10685342955988232,-0.21831567911682342,-0.9758782015455413,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14514771853578132,0.9894099958075305,-0.9942747403483876,-0.1068538286873544,-0.21831569728459657,-0.975878197481192,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1452196700772404,0.9893994377513348,-0.9942746930406966,-0.10685426888444206,-0.21831577364601892,-0.9758781803982197,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1452916208507057,0.9893888744627033,-0.9942746273317932,-0.10685488030138726,-0.21831576484600398,-0.9758781823668896,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14536357085579668,0.9893783059416917,-0.9942745656011374,-0.10685545469778127,-0.21831579522024994,-0.9758781755718026,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1454355200921329,0.9893677321883562,-0.9942745239498527,-0.10685584225625505,-0.21831593545274572,-0.9758781442000802,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14550746855933383,0.9893571532027524,-0.9942744861527354,-0.10685619395109475,-0.2183160109625496,-0.9758781273076059,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14557941625701895,0.9893465689849364,-0.9942744327516619,-0.10685669083572062,-0.2183161199691816,-0.9758781029214673,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1456513631848078,0.9893359795349642,-0.994274393151404,-0.10685705930544503,-0.21831623493711022,-0.9758780772016986,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14572330934231986,0.9893253848528918,-0.9942743441016016,-0.10685751569884977,-0.21831631073077992,-0.9758780602456957,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14579525472917465,0.9893147849387752,-0.9942742955489293,-0.1068579674646694,-0.21831637545346372,-0.9758780457664074,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.1458671993449917,0.9893041797926705,-0.9942742502287721,-0.1068583891513106,-0.2183164163309475,-0.9758780366215916,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14593914318939055,0.9892935694146336,-0.9942742011783594,-0.10685884554464975,-0.21831645380197406,-0.9758780282388422,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14601108626199066,0.9892829538047209,-0.9942741370208492,-0.10685944250016255,-0.21831649638268552,-0.975878018712989,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14608302856241162,0.9892723329629883,-0.994274078769001,-0.10685998450334133,-0.21831655855052357,-0.9758780048052399,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14615497009027292,0.9892617068894921,-0.9942740379863146,-0.10686036396339202,-0.21831660964737631,-0.9758779933742102,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14622691084519412,0.9892510755842885,-0.9942739886241498,-0.10686082324885947,-0.21831662554417486,-0.9758779898178893,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14629885082679478,0.9892404390474336,-0.9942739544310901,-0.10686114139369166,-0.21831662497643162,-0.9758779899449009,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14637079003469441,0.9892297972789839,-0.9942739198027423,-0.10686146358762863,-0.21831666812488465,-0.9758779802920287,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14644272846851258,0.9892191502789953,-0.9942738739215748,-0.1068618904801162,-0.2183166459829152,-0.9758779852454765,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14651466612786881,0.9892084980475244,-0.9942738285997539,-0.10686231216657859,-0.21831661929900373,-0.9758779912150155,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14658660301238274,0.9891978405846275,-0.9942737695381275,-0.10686286168937537,-0.21831658296346465,-0.9758779993437482,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14665853912167384,0.9891871778903609,-0.9942737299977532,-0.10686322958040813,-0.218316637182902,-0.9758779872141543,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14673047445536175,0.989176509964781,-0.9942736912032913,-0.10686359053008657,-0.21831668175071184,-0.9758779772437527,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.146802409013066,0.9891658368079442,-0.9942736490514682,-0.10686398271577734,-0.21831675129920286,-0.9758779616848421,12,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14687434279440614,0.989155158419907,-0.9942736136139747,-0.10686431242940032,-0.2183167490282322,-0.975877962192888,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
1,0.14694627579900177,0.9891444748007258,-0.9942735672963844,-0.10686474337087161,-0.21831676435728659,-0.9758779587635766,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.1470182080264725,0.9891337859504572,-0.9942735211029505,-0.1068651731554322,-0.21831678252505607,-0.9758779546992069,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14709013947643793,0.9891230918691576,-0.9942734856028906,-0.10686550344745673,-0.21831679132506984,-0.9758779527305276,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0.14716207014851757,0.9891123925568837,-0.9942734473671517,-0.10686585919104295,-0.2183168256735071,-0.9758779450463277,11,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
